name,raw_name,id,genres
Abstrakt Sonance,ABSTRAKT SONANCE,00qKBesewdWy5l0bpMdosp,"['deep dubstep', 'experimental bass']"
AES DANA,AES DANA,6n1fB5NgTsFNdT4JHpVMe1,"['ambient psychill', 'ambient trance', 'psychill']"
Alejo,ALEJO,50sIhX3HytFEwQXZJLUZQE,"['reggaeton', 'trap latino', 'urbano latino']"
American Grime,AMERICAN GRIME,3cyPRO15GSCgu9DlxtLJfR,[]
Anna Morgan,ANNA MORGAN,30X6dIzlcixPlRNNYesrA4,[]
Axxad,AXJA,7EnWkKTmRG5i9rW93o5DZm,[]
Backleft,BACKLEFT,4d7Y0SUDKZdt76ADstCvFF,[]
barnacle boi,BARNACLE BOI,6psDObCnL4BfpwqYzE0Dzu,['wave']
Betafuse,BETAFUSE,4Nvhh3TSWLhAdGRxjgS9AP,[]
Biolumigen,BIOLUMIGEN,1DTIo9Bu4xcNR9vzDJ23d4,[]
Black Carl!,BLACK CARL!,07oZEFDySnjPl7vqqD8XSq,['halftime dnb']
Brothel,BROTHEL,3xYvvJ6tjXyJJdEXBs8qf0,['wave']
Carbon Based Lifeforms,CARBON BASED LIFEFORMS,38DX4hQVvPBs3PThDIAK11,"['ambient trance', 'downtempo', 'psychill']"
Centrific,CENTRIFIC,4m3WM8qoxu4WV51TxAKuYN,[]
CHEZ,CHEZ,5rhwlOO02xIKEdJmpJqSaE,[]
C-MON,C-MON,0T1AVgfx8tistf79xIdfCX,[]
Kypski,KYPSKI,7cQlIEll24mEd0eVdlIODL,['dutch experimental electronic']
CIL,CONFIDENTCHILL,1bBo1QjmPP5CfMiEsxmZxU,[]
Crowell,CROWELL,1YDZLsdFDJFxEVMAi9F3OA,['riddim dubstep']
Curra,CURRA,16VvGcN3hJ8GsqLRJ4w1tv,[]
Cut Chemist,CUT CHEMIST,4743DlrFCsAlAV4N26Kdgh,"['scratch', 'trip hop', 'turntablism']"
DE-TÜ,DE-TÜ,5iCCchx08AOJTQOg0IuAUd,['deep dubstep']
Deadcrow,DEADCROW,4ufkY8hmhmYl4aCnzv3dLE,['wave']
Die by the Sword,DIE BY THE SWORD,36LQZuU9iwxGDEdPIGQh8m,[]
DJ Madd,DJ MADD,2E3cV6nAEE1Q18ghyeD1zj,"['classic dubstep', 'deep dubstep', 'minimal dubstep']"
DMVU,DMVU,59DcOmdlmKUgsUrb2S7Nb6,['experimental bass']
Eastwood Red,EASTWOOD RED,5WTe2Mhmf3akSSSKJOMhUT,[]
Easyjack,EASYJACK,2UP0s0SrbczroPPjqGfStn,[]
Eliot Lipp,ELIOT LIPP,2E2bPcE2HtOgwvNbHu7mOk,"['glitch hop', 'livetronica']"
Esseks,ESSEKS,27mChCxMpfmLnXhdD07DLZ,['experimental bass']
Falls,FALLS,3ATHXs1f58nnxQGsP90xbz,['emo rap']
FREQ,FREQ,2RhHYhTDZDZ5Td9GbDR28Y,[]
Gentlemens Club,GENTLEMENS CLUB,58MEqEE2029jp6KTWTt1hO,"['brostep', 'dubstep']"
Gladkill,GLADKILL,7Kpco2hTnFKHUP1Gj8dA17,['glitch hop']
Grimblee,GRIMBLEE,6wee4X0tZ6ya8LIEdg0k0C,[]
Gulls - The Little Mermaid Original Broadway Cast,GRLLSMTH,0XNLvasNRE3NdlZyhYpshu,[]
GROUCH,GROUCH,1XYaSj3xCQVd8xmaGx8V0B,[]
Grouch in Dub,GROUCH IN DUB,088IXLcHlV1p0Cfd3bzbZD,['nz electronic']
Hamdi,HAMDI,7vvicoei9BbKpZix8qSeLg,[]
Hypho,HYPHO,2ODMudAd86RorKe9wTJPs7,['deep dubstep']
J. Adjodha,J. ADJODHA,6SlGxzoPNjaHtIE0Ph6IaN,[]
Jen Symmetry,JEN SYMMETRY,0yYWiJ6OFpqAMrmk6qfx8v,[]
Jon Casey,JON CASEY,5ttBnysifryX99bjzeFPGr,['south african electronic']
Keota,KEOTA,2p0kNhqWAx7zmVzVh6CiVe,[]
kLL Bill,KLL BILL,55yeFqdWLSKgOdF6QEOhOr,[]
Kode9,KODE9,5Z3GyWBvJZgJ35TS0cmXll,"['classic dubstep', 'footwork', 'future garage', 'intelligent dance music', 'scottish electronic', 'uk bass', 'wonky']"
Kursk,KURSK,4zpKuLN0tx2VAcmf52uYg4,[]
Kypski,KYPSKI,7cQlIEll24mEd0eVdlIODL,['dutch experimental electronic']
LYNY,LYNY,7xqIp1044Z2vd9v9ZphjLa,[]
Machinedrum,MACHINEDRUM,06xa1OLBsMQJFXcl2tQkH4,"['footwork', 'future garage', 'glitch', 'glitch hop', 'halftime dnb', 'intelligent dance music', 'minimal dnb', 'uk bass', 'wonky']"
Mad Professor,MAD PROFESSOR,3hbnUwHvxyFxeJ9veCzOE7,"['dub', 'reggae', 'roots reggae', 'uk dub']"
Maxfield,MAXFIELD,6ktUm1QmOT26pUl3DfWBmG,[]
Mickman,MICKMAN,69pggVsUwy2xnUWd6GpcvC,[]
Mindex,MINDEX,5phtqjlFDgASSXJRKaPol1,['psybass']
Moonsplatta,MOONSPLATTA,508y7zD3hjDklJYuJqsJF3,[]
morning coffee,MORNING COFFEE,0LHfA50RG8DSCk4divJea4,[]
Mousai,MOUSAI,2VRhuF4DnwQMbVFagUbP5W,[]
Mr. Carmack,MR. CARMACK,4OHaWpWPKDcZgOOUn9elFn,"['electronic trap', 'vapor twitch']"
Murkury,MURKURY,6de3gCt7GOmcd8fylzCTgc,['downtempo bass']
Mux Mool,MUX MOOL,5ExPH13WUhdGVNnMq6RLCr,['wonky']
N-Type,N-TYPE,2L3xOZQKjlT0Hb2QpTM4XY,"['classic dubstep', 'deep dubstep']"
Nautical Divine,NAUTICAL DIVINE,1b3lA4sD2BvXy7p0za3LZr,[]
Necromancer,NECROMANCER,2vTb6qsGNQ70qOFFy9THG9,[]
Neversky,NEVERSKY,0Ixd6WNw1pyMh3GHdc43DP,[]
oldboy,OLDBOY,1NtxCQplBtX8akfOLcB6Eu,[]
Ooga,OOGA,6xJsKWqO2BzK4OEOGSs4b0,[]
Ovoid,OVOID,3xeTCWQC0fl0wkLcBcor3S,['downtempo bass']
parkbreezy,PARKBREEZY,3iaq6BFgf3TeH9gQfIoyUH,['downtempo bass']
pheel.,PHEEL.,3eAy0xGFGEWl1Gd2C6s9pC,[]
Potions,POTIONS,1uOATWKrMTtQyKaKpbdt76,['downtempo bass']
Pushloop,PUSHLOOP,4FgEa4SLDSV3oGpaFvlZi9,['experimental bass']
R.O,R.O,7HjjdBLZHCZEIjlLbGVLi0,['belgian pop']
REDRUM,REDRUM,3q7zZ6h76GDupZscJzFuU7,[]
Resonant Language,RESONANT LANGUAGE,7Hr2Po3TPTmzqtyB12OX89,['experimental bass']
Revazz,REVAZZ,3zz44G0jfFiUGVCvad9GSL,[]
Rohaan,ROHAAN,7FqSU53yVH1SQAtLZ63DGS,['uk dnb']
SAKA,SAKA,45xcyVA7vepwZl4kVxsHPC,[]
Skeler,SKELER,7ks4LdnBvp6HUsmVJiKgsB,"['drift phonk', 'wave']"
Sortof Vague,SORTOF VAGUE,6jsOdWldrOsFPiTbetsz7L,[]
subtoll,SUBTOLL,2zNvxY3Us2BqUPOTw7OP2G,[]
sumthin sumthin,SUMTHIN SUMTHIN,2a8ez0A2owcYhFki9860sm,"['future bass', 'vapor twitch']"
Sync24,SYNC24,7vDU6uihlGczxakSxUMrOb,['psychill']
Ternion Sound,TERNION SOUND,5sZGZj7wvhCwlG6KBvG90a,"['classic dubstep', 'deep dubstep']"
The Automatic,THE AUTONYM,7IZcg74X6CKzf0SfRliRrB,['welsh rock']
The Glitch Mob,THE GLITCH MOB,3a9qv6NLHnsVxJUtKOMHvD,"['glitch', 'glitch hop', 'indietronica']"
The Widdler,THE WIDDLER,3SCAEdZEfpatrvdFeDLD2p,"['classic dubstep', 'glitch hop']"
Thought Process,THOUGHT PROCESS,3proICVogPsl2OeB7S2ZUC,['downtempo bass']
Tunic,TUNIC,51M2l9r2xX31tNp0SA4WZf,['manitoba indie']
VibeSquaD,VIBESQUAD,5lle26yzjJ832LNygnbvPW,"['downtempo bass', 'glitch hop']"
XL,XL,5eWRNK24B0BOh4wiCge5IH,[]
Zebbler Encanti Experience,ZEBBLER ENCANTI EXPERIENCE,1LJR81mjpmBkowZy1MPwQg,"['experimental bass', 'glitch hop', 'psybass']"
